     OBJECTID_1       GIS_ID  FEDTRACTNO  TRACTNO  AREASQMI   POPDENSITY  TOTAL              NAME  FULLTOTAL  AGE0_17  AGE0_17PCT  AGE18PLUS  AGE18PLUSP  CHTOTAL  CHWHITE  CHBLACK  CHAMERIND  CHASIAN  CHHISP  CHOTHER  TOTALPERC  TOTAL90  TOTAL00  TOTPOPCHG  TOTPOPCHGP  WHITE  BLACK  AMERIND  ASIAN  HAWAIIAN  OTHER  HISPANIC  OCCUPIEDHO  PCTOWNEROC  TRACT90         COMMENT_  MRDCHREL  MRDCHRELNO  MHHCHREL  MHHCHRELNO  FMHHCHREL  FMHHCHRELN  MARRIED  TOTHOUSEUN  SINGLEFAMI  MULTIUNIT  CONSTRCOST  SINGLECOST  MULTICOST  MULTIPERSO  SINGLEPERS  FAGI_TOTAL_2005  FAGI_MEAN_2005  FAGI_MEDIAN_2005  FAGI_TOTAL_2006  FAGI_MEDIAN_2006  AREA  LEN  SHAPE_Length    SHAPE_Area
23           24  Tract00_071       52.01    52.10   0.13115  34761.72322   4559  2000 Tract 52.01       3039      346     0.07589       4213     0.92410       79      366     -566         44      191     196      232      1.763     4480     4559         79     0.01763   2436   1031       18    317         7     22       588         717     0.23593     52.1                         91         214         9          45         82          59      305          57           0         57     2633400           0    2633400         487        2052      213381688.0      71412.8809           50469.5      223549697.0           62330.0     0    0   2661.877313  3.396704e+05
24           25  Tract00_073       49.01    49.10   0.10496  19178.73476   2013  2000 Tract 49.01        838      503     0.24987       1510     0.75012       19       68     -121         15       50      37       48      0.953     1994     2013         19     0.00952    235   1569       14     57         0      2       105         245     0.29236     49.1                         51          53        23          22        138         109      104           0           0          0           0           0          0         114         328       31201320.0      39797.6020           26474.0       28920749.0           32110.0     0    0   2113.085694  2.718489e+05
25           26  Tract00_074        2.01     2.10   0.19890  22458.52187   4467   2000 Tract 2.01         28       32     0.00716       4435     0.99283      631      866     -147         -7      -18    -191      -61     16.449     3836     4467        631     0.16449   3852    239        0    242        56      1        75          15     0.53571      2.1                          1           3         1           0          2           1        4           0           0          0           0           0          0           8          12       10705176.0     243299.4545          114048.5       13587405.0          151880.5     0    0   3208.051049  5.151591e+05
26           27  Tract00_101       80.01    80.10   0.12567  20514.04472   2578  2000 Tract 80.01       1136      514     0.19937       2064     0.80062     -373     -147     -231         18       18      23       21    -12.640     2951     2578       -373    -0.12639    311   2164        4     27         0      1        41         758     0.66725     80.1                         84         151        17          49         96         156      235           0           0          0           0           0          0         130         453       66887535.0      55926.0326           43206.0       63648025.0           49288.0     0    0   2400.573200  3.254824e+05
27           28  Tract00_102       79.01    79.10   0.15377  23931.84626   3680  2000 Tract 79.01       1465     1115     0.30298       2565     0.69701     -199      -11     -209         15        8      28       35     -5.130     3879     3680       -199    -0.05130     22   3563        6     12         1      3        52         514     0.35085     79.1                         86         139        35          55        301         257      225           0           0          0           0           0          0          99         493       40312440.0      28980.9058           22383.0       36581986.0           26443.0     0    0   2551.264039  3.982747e+05
28           29  Tract00_103       79.03    79.30   0.09366  19645.52637   1840  2000 Tract 79.03        792      438     0.23804       1402     0.76195     -175        7     -167          4       16      17        4     -8.685     2015     1840       -175    -0.08684     17   1765        1      0         0      2        39         479     0.60479     79.3                         56         108        21          29         99         141      164           0           0          0           0           0          0          38         300       25964231.0      34073.7940           28292.5       23945889.0           32263.0     0    0   2170.881994  2.425887e+05
29           30  Tract00_104       68.04    68.40   0.79358   3311.57539   2628  2000 Tract 68.04        171      114     0.04337       2514     0.95662     -554       65     -649         -2       14       4       68    -17.410     3182     2628       -554    -0.17410    174   2269        2     19         0      7       122          21     0.12280     68.4                         11          14         0           6          3           5       25           0           0          0           0           0          0           7         125         793918.0      44106.5556           39437.0         446777.0           42017.0     0    0   6740.021412  2.055376e+06
30           31  Tract00_180       78.08    78.80   0.37875  10592.73927   4012  2000 Tract 78.08       1366     1369     0.34122       2643     0.65877     -757       24     -754         10       -4       2        0    -15.873     4769     4012       -757    -0.15873     22   3926        7      4         0      1        29         546     0.39970     78.8                         71         198        23          56        345         289      269           1           1          0       68150       68150          0          49         335       34121504.0      28482.0568           23379.5       30322222.0           26932.0     0    0   4386.420374  9.809522e+05
31           32  Tract00_049       33.01    33.10   0.16974  15947.92035   2707  2000 Tract 33.01       1030      547     0.20206       2160     0.79793     -394      -12     -375         12       13      32       29    -12.706     3101     2707       -394    -0.12705    154   2400        2     14         0      6        84         647     0.62815     33.1                         77         125        19          51         86         150      202           0           0          0           0           0          0         166         356       55946734.0      50814.4723           36331.0       53007004.0           44326.0     0    0   3304.058243  4.396223e+05
32           33  Tract00_051        7.02     7.20   0.11734  28344.98040   3326   2000 Tract 7.02       2296      192     0.05772       3134     0.94227        6     -112       61         29       72      36      116      0.181     3320     3326          6     0.00180   2325    204       11    274         2     24       358         462     0.20121      7.2                         90         229         9          21         40          42      319           0           0          0           0           0          0         317        1548       93996457.0      53165.4169           45345.0       90484459.0           53161.0     0    0   2763.477746  3.039168e+05
